iterations,aggregate_opinions,radicalised_agents,silenced_agents,negated_agents,radicalisation_logodds,layer_interdependences_family,layer_interdependences_friends,layer_interdependences_religion,layer_interdependences_neighbours,layer_interdependences_cultural,layer_polarisations_family,layer_polarisations_friends,layer_polarisations_religion,layer_polarisations_neighbours,layer_polarisations_cultural
68,0.15164755100567648,40,222,281,0.0,0.19999999999999957,0.19999999999999962,0.1999999999999996,0.1999999999999995,0.1999999999999995,0.35527884933091436,0.35527884933091436,0.35527884933091436,0.35527884933091436,0.35527884933091436
69,0.12508886098688238,40,222,281,0.0,0.20000000000000007,0.20000000000000015,0.2000000000000001,0.2000000000000001,0.2,0.3248919304775727,0.3248919304775727,0.3248919304775727,0.3248919304775727,0.3248919304775727
70,0.15576762688741572,40,222,281,0.0,0.19999999999999982,0.19999999999999982,0.1999999999999998,0.19999999999999993,0.19999999999999984,0.36179903635378874,0.36179903635378874,0.36179903635378874,0.36179903635378874,0.36179903635378874
71,0.1315237902676592,40,222,281,0.0,0.19999999999999934,0.19999999999999946,0.19999999999999948,0.19999999999999946,0.19999999999999943,0.35892829766470896,0.35892829766470896,0.35892829766470896,0.35892829766470896,0.35892829766470896
72,0.1305162304469546,40,222,281,0.0,0.19999999999999934,0.19999999999999934,0.19999999999999932,0.1999999999999994,0.19999999999999932,0.4002370439598873,0.4002370439598873,0.4002370439598873,0.4002370439598873,0.4002370439598873
73,0.11664529594637237,40,222,281,0.0,0.19999999999999887,0.19999999999999887,0.19999999999999887,0.19999999999999893,0.1999999999999989,0.41544958032377066,0.41544958032377066,0.41544958032377066,0.41544958032377066,0.41544958032377066
74,0.10511714200930633,40,222,281,0.0,0.19999999999999857,0.1999999999999985,0.1999999999999985,0.1999999999999986,0.1999999999999985,0.4544994747487068,0.4544994747487068,0.4544994747487068,0.4544994747487068,0.4544994747487068
75,0.07904055119572653,40,222,281,0.0,0.1999999999999996,0.1999999999999996,0.19999999999999957,0.19999999999999965,0.19999999999999965,0.4807392603866192,0.4807392603866192,0.4807392603866192,0.4807392603866192,0.4807392603866192
76,0.07884068944877169,40,222,281,0.0,0.19999999999999912,0.19999999999999923,0.19999999999999904,0.1999999999999992,0.19999999999999912,0.46769584658397007,0.46769584658397007,0.46769584658397007,0.46769584658397007,0.46769584658397007
77,0.07492404803400976,40,222,281,0.0,0.19999999999999912,0.19999999999999912,0.19999999999999915,0.1999999999999992,0.19999999999999912,0.43894968867847695,0.43894968867847695,0.43894968867847695,0.43894968867847695,0.43894968867847695
78,0.06676084004227453,40,222,281,0.0,0.20000000000000015,0.2000000000000002,0.2000000000000002,0.2000000000000002,0.2000000000000002,0.43744381577544905,0.43744381577544905,0.43744381577544905,0.43744381577544905,0.43744381577544905
79,0.041075005017645896,40,222,281,0.0,0.19999999999999957,0.1999999999999995,0.19999999999999954,0.19999999999999962,0.19999999999999965,0.39957013756569154,0.39957013756569154,0.39957013756569154,0.39957013756569154,0.39957013756569154
80,0.053315508530854726,40,222,281,0.0,0.2,0.2,0.2,0.2,0.19999999999999996,0.39992835415305905,0.39992835415305905,0.39992835415305905,0.39992835415305905,0.39992835415305905
81,0.009113728857003034,40,222,281,0.0,0.19999999999999965,0.19999999999999968,0.19999999999999957,0.19999999999999965,0.1999999999999996,0.403028212847048,0.403028212847048,0.403028212847048,0.403028212847048,0.403028212847048
82,0.011008339103398273,40,222,281,0.0,0.1999999999999998,0.19999999999999976,0.19999999999999973,0.1999999999999998,0.19999999999999973,0.4132815502198586,0.4132815502198586,0.4132815502198586,0.4132815502198586,0.4132815502198586
83,0.041700814435079704,40,222,281,0.0,0.1999999999999997,0.1999999999999997,0.19999999999999962,0.19999999999999965,0.1999999999999997,0.41828539353154226,0.41828539353154226,0.41828539353154226,0.41828539353154226,0.41828539353154226
84,-0.016362498060278338,40,222,281,0.0,0.19999999999999954,0.19999999999999962,0.19999999999999948,0.19999999999999954,0.19999999999999957,0.4603877080267698,0.4603877080267698,0.4603877080267698,0.4603877080267698,0.4603877080267698
85,0.008367468595845983,40,222,281,0.0,0.1999999999999997,0.19999999999999973,0.19999999999999965,0.19999999999999965,0.19999999999999965,0.45608714583611937,0.45608714583611937,0.45608714583611937,0.45608714583611937,0.45608714583611937
86,0.009974173946636522,40,222,281,0.0,0.19999999999999954,0.1999999999999996,0.1999999999999995,0.1999999999999995,0.19999999999999954,0.4390999413281981,0.4390999413281981,0.4390999413281981,0.4390999413281981,0.4390999413281981
87,0.03298405984524089,40,222,281,0.0,0.1999999999999996,0.1999999999999996,0.1999999999999995,0.19999999999999954,0.19999999999999968,0.4302736720269006,0.4302736720269006,0.4302736720269006,0.4302736720269006,0.4302736720269006
88,0.009721757201532288,40,222,281,0.0,0.2000000000000003,0.2000000000000002,0.20000000000000018,0.2000000000000002,0.20000000000000012,0.42649485436528867,0.42649485436528867,0.42649485436528867,0.42649485436528867,0.42649485436528867
89,-0.03627747634995776,40,222,281,0.0,0.2000000000000003,0.20000000000000034,0.2000000000000002,0.2000000000000002,0.2000000000000003,0.4275856347578612,0.4275856347578612,0.4275856347578612,0.4275856347578612,0.4275856347578612
90,-0.05999309801327537,40,222,281,0.0,0.19999999999999932,0.1999999999999994,0.19999999999999926,0.19999999999999926,0.19999999999999926,0.42702373254991455,0.42702373254991455,0.42702373254991455,0.42702373254991455,0.42702373254991455
91,-0.06628936832597217,40,222,281,0.0,0.19999999999999948,0.1999999999999994,0.19999999999999943,0.1999999999999994,0.19999999999999934,0.4393304706862329,0.4393304706862329,0.4393304706862329,0.4393304706862329,0.4393304706862329
92,-0.05657687702199961,40,222,281,0.0,0.2000000000000002,0.20000000000000034,0.2000000000000003,0.20000000000000023,0.20000000000000026,0.472429387549702,0.472429387549702,0.472429387549702,0.472429387549702,0.472429387549702
93,-0.04018460824810514,40,222,281,0.0,0.1999999999999999,0.2,0.19999999999999987,0.19999999999999998,0.2,0.48917620322506594,0.48917620322506594,0.48917620322506594,0.48917620322506594,0.48917620322506594
94,-0.04614644463494609,40,222,281,0.0,0.19999999999999934,0.1999999999999993,0.19999999999999932,0.19999999999999934,0.19999999999999926,0.4929864920079758,0.4929864920079758,0.4929864920079758,0.4929864920079758,0.4929864920079758
95,0.0007772289934795728,40,222,281,0.0,0.19999999999999973,0.1999999999999997,0.19999999999999984,0.19999999999999976,0.1999999999999997,0.49764326585590757,0.49764326585590757,0.49764326585590757,0.49764326585590757,0.49764326585590757
96,-0.01077437003056422,40,222,281,0.0,0.19999999999999973,0.1999999999999996,0.19999999999999968,0.19999999999999984,0.19999999999999968,0.4956317380028088,0.4956317380028088,0.4956317380028088,0.4956317380028088,0.4956317380028088
97,-0.020751938816372145,40,222,281,0.0,0.19999999999999904,0.1999999999999991,0.1999999999999991,0.1999999999999991,0.1999999999999991,0.5027986049965859,0.5027986049965859,0.5027986049965859,0.5027986049965859,0.5027986049965859
98,-0.043206597062534546,40,222,281,0.0,0.20000000000000043,0.2000000000000006,0.2000000000000005,0.2000000000000005,0.2000000000000005,0.4815227396743233,0.4815227396743233,0.4815227396743233,0.4815227396743233,0.4815227396743233
99,-0.02812575962611914,40,222,281,0.0,0.19999999999999965,0.1999999999999998,0.19999999999999973,0.19999999999999982,0.19999999999999965,0.5300019235357324,0.5300019235357324,0.5300019235357324,0.5300019235357324,0.5300019235357324
